Index,Time,(((supercap).sampler_).iRefree_).adc_val_
7783,7.782982,459.21759
7784,7.783987,458.821686
7785,7.784980,458.856659
7786,7.785986,458.746124
7787,7.787062,458.915985
7788,7.787985,459.235199
7789,7.788991,460.017822
7790,7.789985,458.633026
7791,7.790978,459.17041
7792,7.791985,459.360138
7793,7.792991,458.702393
7794,7.793985,459.142426
7795,7.794978,459.416901
7796,7.795985,459.880066
7797,7.796991,459.225952
7798,7.798001,459.28186
7799,7.798984,459.226624
7800,7.799990,459.96347
7801,7.800983,458.861481
7802,7.801989,459.074951
7803,7.802983,459.135254
7804,7.803989,459.619476
7805,7.804982,458.936829
7806,7.806008,459.19632
7807,7.806986,458.855591
7808,7.808082,458.739716
7809,7.808989,458.773773
7810,7.809983,458.406189
7811,7.810989,458.39743
7812,7.811983,459.056885
7813,7.812989,458.801971
7814,7.813985,458.928345
7815,7.814978,459.222717
7816,7.815986,458.707672
7817,7.816980,459.170319
7818,7.817989,459.455872
7819,7.819000,459.048889
7820,7.820002,458.661926
7821,7.820985,458.938538
7822,7.821980,459.661957
7823,7.822986,459.446838
7824,7.823980,458.943512
7825,7.824987,459.162415
7826,7.825980,459.051453
7827,7.826987,458.540649
7828,7.827984,458.436523
7829,7.829004,458.378815
7830,7.829986,459.468872
7831,7.830981,459.285248
7832,7.831987,459.057373
7833,7.832981,458.972076
7834,7.833987,458.919922
7835,7.834983,459.69989
7836,7.835990,459.35907
7837,7.836985,458.473633
7838,7.837981,459.755707
7839,7.838988,459.678864
7840,7.840000,459.121094
7841,7.840981,459.290253
7842,7.841990,459.53476
7843,7.842982,458.833252
7844,7.843988,459.217285
7845,7.844982,459.151917
7846,7.845988,459.407227
7847,7.846982,459.287659
7848,7.847991,458.662079
7849,7.848984,458.612183
7850,7.850020,459.756561
7851,7.850989,459.05484
7852,7.851983,459.145935
7853,7.852988,459.529266
7854,7.853983,459.161835
7855,7.854990,459.076843
7856,7.855984,458.674774
7857,7.856989,459.123932
7858,7.857986,459.705048
7859,7.858992,459.172668
7860,7.859986,459.342163
7861,7.860996,459.428101
7862,7.861978,459.196106
7863,7.862985,458.975067
7864,7.863991,459.273834
7865,7.864984,459.084167
7866,7.865990,458.751129
7867,7.866983,459.834625
7868,7.867981,459.018524
7869,7.868988,459.121307
7870,7.869982,458.531128
7871,7.871070,458.870087
7872,7.871989,459.192047
7873,7.872983,458.737915
7874,7.873989,459.077942
7875,7.874984,458.766205
7876,7.875989,459.038361
7877,7.876983,459.020996
7878,7.877981,459.534058
7879,7.878987,460.102264
7880,7.879982,459.303284
7881,7.880988,459.151489
7882,7.882001,459.391296
7883,7.882982,459.009369
7884,7.883989,459.130066
7885,7.884983,459.685028
7886,7.885990,459.142822
7887,7.886984,458.806366
7888,7.887981,459.143799
7889,7.888987,459.345551
7890,7.889982,459.677155
7891,7.890989,459.601318
7892,7.892003,459.148407
7893,7.892985,458.563202
7894,7.893980,459.154053
7895,7.894987,458.863739
7896,7.895981,459.025299
7897,7.896987,459.188538
7898,7.897985,459.379211
7899,7.898979,459.937622
7900,7.899986,459.750885
7901,7.900980,459.105804
7902,7.901988,459.338043
7903,7.902999,460.158295
7904,7.903981,459.244934
7905,7.904988,459.032227
7906,7.905982,459.38205
7907,7.906989,459.565247
7908,7.907986,459.330353
7909,7.908980,459.385132
7910,7.909985,460.602478
7911,7.910980,459.932281
7912,7.911986,459.904785
7913,7.913005,459.007385
7914,7.913987,459.208344
7915,7.914981,459.664856
7916,7.915987,458.853546
7917,7.916981,459.733368
7918,7.917990,459.738525
7919,7.918984,459.715759
7920,7.919990,459.505096
7921,7.920984,460.121765
7922,7.921990,459.194092
7923,7.922984,459.166107
7924,7.923995,458.807312
7925,7.924988,459.358154
7926,7.925984,459.383148
7927,7.926990,459.844086
7928,7.927987,459.926361
7929,7.929026,459.63092
7930,7.929982,458.977417
7931,7.930989,459.263
7932,7.931983,458.885071
7933,7.932989,459.163208
7934,7.934082,459.733002
7935,7.934988,459.117493
7936,7.935982,459.187103
7937,7.936988,459.440216
7938,7.937985,459.353546
7939,7.938991,459.146942
7940,7.939985,459.858093
7941,7.940991,459.905884
7942,7.941986,459.670441
7943,7.942978,459.355957
7944,7.943986,459.897247
7945,7.945001,459.83371
7946,7.945986,459.068298
7947,7.946981,458.890808
7948,7.947991,459.294769
7949,7.948985,459.49826
7950,7.949991,459.205872
7951,7.950986,459.927155
7952,7.951980,459.420776
7953,7.952987,459.005859
7954,7.953981,459.269653
7955,7.954988,458.852844
7956,7.956005,459.382812
7957,7.956988,459.363037
7958,7.957984,458.304382
7959,7.958980,459.198059
7960,7.959987,458.92334
7961,7.960982,459.528656
7962,7.961988,458.882233
7963,7.962982,459.414612
7964,7.963989,458.946655
7965,7.964983,459.336121
7966,7.966016,459.283051
7967,7.966999,459.527557
7968,7.967984,459.509674
7969,7.968990,460.048981
7970,7.969984,458.95813
7971,7.970990,459.040802
7972,7.971984,459.080902
7973,7.972979,459.310547
7974,7.973986,459.345642
7975,7.974992,459.226288
7976,7.975986,459.434875
7977,7.977017,459.651672
7978,7.977989,459.291199
7979,7.978984,459.137817
7980,7.979989,459.928131
7981,7.980983,460.10025
7982,7.981996,459.69809
7983,7.982989,459.720642
7984,7.983982,459.166779
7985,7.984988,459.11618
7986,7.985981,458.784821
7987,7.986987,458.589722
7988,7.988007,458.948853
7989,7.988988,459.042755
7990,7.989983,459.784698
7991,7.990988,459.019318
7992,7.991982,459.135803
7993,7.992988,459.847382
7994,7.993982,459.195068
7995,7.994987,459.820007
7996,7.995980,459.360596
7997,7.996987,459.065796
7998,7.998073,459.062683
7999,7.998989,459.177124
8000,7.999984,459.150421
8001,8.000989,459.88681
8002,8.001983,459.894135
8003,8.002989,459.241028
8004,8.003984,459.988617
8005,8.004989,459.497559
8006,8.005983,459.531799
8007,8.006989,459.06424
8008,8.007986,458.796387
8009,8.009003,458.024048
8010,8.009985,458.478149
8011,8.010979,459.080475
8012,8.011986,459.447815
8013,8.012981,459.942108
8014,8.013987,459.105469
8015,8.014981,459.469879
8016,8.015988,459.246857
8017,8.016983,459.34201
8018,8.017981,458.909241
8019,8.019038,459.378265
8020,8.019984,459.375916
8021,8.020981,458.850525
8022,8.021988,459.233398
8023,8.022983,459.403137
8024,8.023989,459.196228
8025,8.024983,459.006714
8026,8.025989,459.148499
8027,8.026983,459.345612
8028,8.027980,459.605316
8029,8.028987,459.541168
8030,8.030020,459.013214
8031,8.030982,459.316193
8032,8.031990,460.216125
8033,8.032984,459.76709
8034,8.033990,459.781708
8035,8.034984,459.566467
8036,8.035991,459.636078
8037,8.036985,460.127197
8038,8.037983,459.556915
8039,8.038989,459.652802
8040,8.039982,459.190643
8041,8.041068,459.082428
8042,8.042001,459.439301
8043,8.042982,459.813416
8044,8.043989,458.980927
8045,8.044982,459.123016
8046,8.045989,459.035706
8047,8.046983,460.528107
8048,8.047978,459.576019
8049,8.048985,459.323486
8050,8.049980,459.385162
8051,8.050985,460.180389
8052,8.052003,460.281738
8053,8.052985,459.567596
8054,8.053979,459.764771
8055,8.054986,459.31308
8056,8.056061,459.078796
8057,8.056980,459.295013
8058,8.057990,459.945557
8059,8.058983,459.347046
8060,8.059990,459.457184
8061,8.060983,458.687592
8062,8.061990,459.589813
8063,8.063006,459.31839
8064,8.063987,458.977722
8065,8.064981,459.189392
8066,8.065987,459.257202
8067,8.066979,459.86908
8068,8.067990,459.235565
8069,8.068983,459.725647
8070,8.069991,459.394775
8071,8.070984,459.357666
8072,8.071991,459.432098
